"bitcoin","bitcoin","Bitcoin","BTC"
"ethereum","ethereum","Ethereum","ETH"
"tether","tether","Tether","USDT"
"binance-coin","binance-coin","BNB","BNB"
"solana","solana","Solana","SOL"
"usd-coin","usd-coin","USDC","USDC"
"xrp","xrp","XRP","XRP"
"dogecoin","dogecoin","Dogecoin","DOGE"
"cardano","cardano","Cardano","ADA"
"avalanche","avalanche","Avalanche","AVAX"
"shiba-inu","shiba-inu","Shiba Inu","SHIB"
"polkadot","polkadot","Polkadot","DOT"
"chainlink","chainlink","Chainlink","LINK"
"tron","tron","TRON","TRX"
"wrapped-bitcoin","wrapped-bitcoin","Wrapped Bitcoin","WBTC"
"polygon","polygon","Polygon","MATIC"
"bitcoin-cash","bitcoin-cash","Bitcoin Cash","BCH"
"uniswap","uniswap","Uniswap","UNI"
"near-protocol","near-protocol","NEAR Protocol","NEAR"
"litecoin","litecoin","Litecoin","LTC"
"internet-computer","internet-computer","Internet Computer","ICP"
"unus-sed-leo","unus-sed-leo","UNUS SED LEO","LEO"
"multi-collateral-dai","multi-collateral-dai","Multi Collateral DAI","DAI"
"stacks","stacks","Stacks","STX"
"filecoin","filecoin","Filecoin","FIL"
"ethereum-classic","ethereum-classic","Ethereum Classic","ETC"
"render-token","render-token","Render Token","RNDR"
"stellar","stellar","Stellar","XLM"
"okb","okb","OKB","OKB"
"the-graph","the-graph","The Graph","GRT"
"crypto-com-coin","crypto-com-coin","Crypto.com Coin","CRO"
"fantom","fantom","Fantom","FTM"
"vechain","vechain","VeChain","VET"
"maker","maker","Maker","MKR"
"cosmos","cosmos","Cosmos","ATOM"
"theta","theta","THETA","THETA"
"thorchain","thorchain","THORChain","RUNE"
"injective-protocol","injective-protocol","Injective","INJ"
"monero","monero","Monero","XMR"
"arweave","arweave","Arweave","AR"
"lido-dao","lido-dao","Lido DAO","LDO"
"fetch","fetch","Fetch.ai","FET"
"algorand","algorand","Algorand","ALGO"
"flow","flow","Flow","FLOW"
"gala","gala","Gala","GALA"
"aave","aave","Aave","AAVE"
"conflux-network","conflux-network","Conflux","CFX"
"hedera-hashgraph","hedera-hashgraph","Hedera Hashgraph","HBAR"
"bitcoin-sv","bitcoin-sv","Bitcoin SV","BSV"
"the-sandbox","the-sandbox","The Sandbox","SAND"
"quant","quant","Quant","QNT"
"axie-infinity","axie-infinity","Axie Infinity","AXS"
"elrond-egld","elrond-egld","MultiversX","EGLD"
"kucoin-token","kucoin-token","KuCoin Token","KCS"
"singularitynet","singularitynet","SingularityNET","AGIX"
"mina","mina","Mina","MINA"
"decentraland","decentraland","Decentraland","MANA"
"tezos","tezos","Tezos","XTZ"
"chiliz","chiliz","Chiliz","CHZ"
"akash-network","akash-network","Akash Network","AKT"
"eos","eos","EOS","EOS"
"helium","helium","Helium","HNT"
"ecash","ecash","eCash","XEC"
"neo","neo","Neo","NEO"
"synthetix-network-token","synthetix-network-token","Synthetix","SNX"
"kava","kava","Kava","KAVA"
"wemix","wemix","WEMIX","WEMIX"
"trueusd","trueusd","TrueUSD","TUSD"
"pancakeswap","pancakeswap","PancakeSwap","CAKE"
"iota","iota","IOTA","IOTA"
"oasis-network","oasis-network","Oasis Network","ROSE"
"klaytn","klaytn","Klaytn","KLAY"
"nervos-network","nervos-network","Nervos Network","CKB"
"aioz-network","aioz-network","AIOZ Network","AIOZ"
"gnosis-gno","gnosis-gno","Gnosis","GNO"
"pendle","pendle","Pendle","PENDLE"
"wootrade","wootrade","WOO","WOO"
"curve-dao-token","curve-dao-token","Curve DAO Token","CRV"
"nexo","nexo","Nexo","NEXO"
"0x","0x","0x Protocol","ZRX"
"ribbon-finance","ribbon-finance","Ribbon Finance","RBN"
"gatetoken","gatetoken","GateToken","GT"
"iotex","iotex","IoTeX","IOTX"
"bitcoin-gold","bitcoin-gold","Bitcoin Gold","BTG"
"enjin-coin","enjin-coin","Enjin Coin","ENJ"
"ftx-token","ftx-token","FTX Token","FTT"
"rocket-pool","rocket-pool","Rocket Pool","RPL"
"1inch","1inch","1inch Network","1INCH"
"ocean-protocol","ocean-protocol","Ocean Protocol","OCEAN"
"dydx","dydx","dYdX","DYDX"
"livepeer","livepeer","Livepeer","LPT"
"zilliqa","zilliqa","Zilliqa","ZIL"
"compound","compound","Compound","COMP"
"xinfin-network","xinfin-network","XinFin Network","XDC"
"frax-share","frax-share","Frax Share","FXS"
"celo","celo","Celo","CELO"
"superfarm","superfarm","SuperVerse","SUPER"
"holo","holo","Holo","HOT"
"trust-wallet-token","trust-wallet-token","Trust Wallet Token","TWT"
"raydium","raydium","Raydium","RAY"
"metisdao","metisdao","Metis","METIS"
"loopring","loopring","Loopring","LRC"
"siacoin","siacoin","Siacoin","SC"
"dexe","dexe","DeXe","DEXE"
"skale-network","skale-network","SKALE","SKL"
"theta-fuel","theta-fuel","Theta Fuel","TFUEL"
"blox","blox","Blox","CDT"
"golem-network-tokens","golem-network-tokens","Golem","GLM"
"illuvium","illuvium","Illuvium","ILV"
"zcash","zcash","Zcash","ZEC"
"origintrail","origintrail","OriginTrail","TRAC"
"casper","casper","Casper","CSPR"
"nxm","nxm","NXM","NXM"
"aelf","aelf","aelf","ELF"
"centrifuge","centrifuge","Centrifuge","CFG"
"basic-attention-token","basic-attention-token","Basic Attention Token","BAT"
"qtum","qtum","Qtum","QTUM"
"mask-network","mask-network","Mask Network","MASK"
"ankr","ankr","Ankr","ANKR"
"amp","amp","Amp","AMP"
"gas","gas","Gas","GAS"
"nem","nem","NEM","XEM"
"waves","waves","Waves","WAVES"
"dash","dash","Dash","DASH"
"reserve-rights","reserve-rights","Reserve Rights","RSR"
"harmony","harmony","Harmony","ONE"
"fei-protocol","fei-protocol","Fei Protocol","FEI"
"decred","decred","Decred","DCR"
"sushiswap","sushiswap","SushiSwap","SUSHI"
"kusama","kusama","Kusama","KSM"
"convex-finance","convex-finance","Convex Finance","CVX"
"kadena","kadena","Kadena","KDA"
"aragon","aragon","Aragon","ANT"
"ravencoin","ravencoin","Ravencoin","RVN"
"telcoin","telcoin","Telcoin","TEL"
"chromia","chromia","Chromia","CHR"
"audius","audius","Audius","AUDIO"
"just","just","JUST","JST"
"api3","api3","API3","API3"
"vethor-token","vethor-token","VeThor Token","VTHO"
"uma","uma","UMA","UMA"
"yield-guild-games","yield-guild-games","Yield Guild Games","YGG"
"coti","coti","COTI","COTI"
"icon","icon","ICON","ICX"
"ontology","ontology","Ontology","ONT"
"mantra-dao","mantra-dao","MANTRA DAO","OM"
"wax","wax","WAX","WAXP"
"storj","storj","Storj","STORJ"
"yearn-finance","yearn-finance","yearn.finance","YFI"
"band-protocol","band-protocol","Band Protocol","BAND"
"balancer","balancer","Balancer","BAL"
"swissborg","swissborg","SwissBorg","BORG"
"marlin","marlin","Marlin","POND"
"rlc","rlc","iExec RLC","RLC"
"syscoin","syscoin","Syscoin","SYS"
"celer-network","celer-network","Celer Network","CELR"
"rsk-infrastructure-framework","rsk-infrastructure-framework","Rootstock Infrastructure Framework","RIF"
"cartesi","cartesi","Cartesi","CTSI"
"digibyte","digibyte","DigiByte","DGB"
"tellor","tellor","Tellor","TRB"
"iostoken","iostoken","IOST","IOST"
"lisk","lisk","Lisk","LSK"
"phala-network","phala-network","Phala Network","PHA"
"numeraire","numeraire","Numeraire","NMR"
"vulcan-forged-pyr","vulcan-forged-pyr","Vulcan Forged (PYR)","PYR"
"nano","nano","Nano","XNO"
"prometeus","prometeus","Prom","PROM"
"syntropy","syntropy","Syntropy","NOIA"
"horizen","horizen","Horizen","ZEN"
"covalent","covalent","Covalent","CQT"
"braintrust","braintrust","Braintrust","BTRST"
"lcx","lcx","LCX","LCX"
"hive-blockchain","hive-blockchain","Hive","HIVE"
"power-ledger","power-ledger","Powerledger","POWR"
"moonriver","moonriver","Moonriver","MOVR"
"paxos-standard","paxos-standard","Pax Dollar","USDP"
"dent","dent","Dent","DENT"
"oraichain-token","oraichain-token","Oraichain","ORAI"
"secret","secret","Secret","SCRT"
"wilder-world","wilder-world","Wilder World","WILD"
"status","status","Status","SNT"
"keep-network","keep-network","Keep Network","KEEP"
"kyber-network","kyber-network","Kyber Network","KNC"
"dusk-network","dusk-network","Dusk","DUSK"
"arcblock","arcblock","Arcblock","ABT"
"dodo","dodo","DODO","DODO"
"pundix-new","pundix-new","Pundi X (New)","PUNDIX"
"gamercoin","gamercoin","GamerCoin","GHX"
"wink","wink","WINkLink","WIN"
"telos","telos","Telos","TLOS"
"sun-token","sun-token","Sun (New)","SUN"
"civic","civic","Civic","CVC"
"bluzelle","bluzelle","Bluzelle","BLZ"
"omg","omg","OMG Network","OMG"
"xyo","xyo","XYO","XYO"
"orchid","orchid","Orchid","OXT"
"ontology-gas","ontology-gas","Ontology Gas","ONG"
"ergo","ergo","Ergo","ERG"
"steem","steem","Steem","STEEM"
"ecomi","ecomi","ECOMI","OMI"
"dkargo","dkargo","dKargo","DKA"
"request","request","Request","REQ"
